compression,batchSize,linger,n_topics,fetch_time,Throughput,Latency
None,177576,78,1,14478,17.66,0.6714962962962978
gzip,53462,95,10,6619,17.826923076923073,0.8132321052631576
gzip,89898,20,15,22101,19.427777777777777,0.9386503963287447
snappy,109445,22,20,6933,19.404210526315794,0.9303972508591066
None,71815,33,8,29150,21.186363636363634,0.7971476868327406
gzip,202445,97,11,24746,23.89032258064516,0.8647307911212291
snappy,124278,20,19,3392,28.645454545454548,1.0046466666666671
None,136352,9,5,12886,18.606060606060602,0.7319242970439798
snappy,49489,67,3,10068,17.644444444444446,0.6926554545454556
snappy,77857,43,10,28545,18.992307692307694,0.8266485774499477
snappy,39501,43,7,10219,18.1609756097561,0.7435232704402525
None,195538,67,9,23449,21.483333333333334,0.8188748590755353
None,94265,97,20,24867,20.88958333333333,0.9641397704253897
gzip,10810,68,14,21357,18.379411764705885,0.8624903474903468
snappy,248605,83,10,6139,18.073076923076925,0.8300546874999987
None,98556,30,18,3431,20.731034482758623,0.9595778432094221
None,114683,74,5,26192,20.30909090909091,0.7606755587599143
gzip,66889,100,7,28351,21.58333333333334,0.7753384508025133
gzip,185560,2,14,10652,19.444117647058825,0.9872631578947382
snappy,17994,17,9,15621,19.440816326530612,0.7809825908858162
snappy,191530,2,12,11830,26.761111111111113,0.9090714985308529
snappy,75067,41,13,14683,18.44590163934426,0.8286958783513393
snappy,155587,44,3,9080,15.885714285714286,0.7018536184210532
None,213383,79,2,19451,18.791666666666668,0.6959581005586584
snappy,241741,77,11,11727,18.713333333333335,0.8340026809651477
gzip,261800,85,10,19032,22.641176470588235,0.8178678532901825
None,17820,80,12,23178,21.333333333333325,0.8231399052948782
gzip,213504,80,18,16046,19.038709677419355,0.8915704783021852
None,83364,18,12,22049,19.22727272727273,0.8704738916256158
gzip,95384,58,16,15715,27.268181818181816,0.9128272000000001
gzip,233107,30,17,1791,20.397701149425288,0.9335044598612487
gzip,24977,38,18,27160,27.191836734693876,0.9266573971078975
None,218441,83,1,22716,19.785714285714285,0.6866956989247305
gzip,190144,75,2,10857,13.382608695652175,0.6805474654377874
None,60505,71,18,13441,21.976086956521737,0.9070274059910786
gzip,169487,54,18,19856,19.55652173913043,0.8930740147388663
gzip,243666,0,9,25620,18.503846153846155,0.8036945156330081
snappy,138372,18,1,2992,14.12,0.6421448058761812
None,182419,13,6,27684,19.31578947368421,0.8751134930643132
None,118972,96,13,727,21.776811594202897,0.8542981963927849
snappy,72927,4,19,7765,19.991666666666667,0.9216487927249921
snappy,184303,100,13,16798,18.74084507042253,0.8526748589846909
snappy,79358,57,2,22459,14.304347826086957,0.6690186219739297
snappy,83147,3,17,24135,20.535632183908046,0.9119197860962562
snappy,46921,91,3,902,14.177777777777775,0.7210853858784894
gzip,56519,40,8,16053,18.548936170212766,0.7607272240085742
gzip,241295,86,6,17511,17.14871794871795,0.7604531250000014
snappy,135359,55,8,24955,18.452173913043474,0.7638972417522988
None,148194,93,5,8823,20.30285714285714,0.7779347527472531
gzip,165612,70,13,4782,18.6463768115942,0.8275472077139411
snappy,256152,39,3,4579,13.118181818181819,0.698513227513227
snappy,72264,66,16,26785,17.81666666666667,0.879021800281294
gzip,191186,55,10,8077,24.075,0.8102904967602581
None,15636,22,4,4261,22.78,0.863067206477733
None,115378,79,19,5678,21.064646464646465,0.9155600609756093
gzip,92871,4,13,15555,20.14202898550724,0.8534821500200536
snappy,257878,69,19,14018,19.4,0.9288232430787939
None,188224,54,7,11995,28.414814814814818,0.7648424790187224
snappy,246524,71,17,17202,18.988636363636367,0.9020767178118734
None,100406,60,5,15593,22.28,0.7690589031821261
snappy,101015,100,11,1549,18.53559322033898,0.8564708520179369
snappy,77683,35,2,21263,16.0,0.6594873294346971
gzip,158880,88,16,9663,18.11272727272727,0.9219723689557094
